,ymd,taavg,tamin,tamax,wsavg,wsmax,wdmax,hmavg,hmmin,evs,evl,catotavg,psavg,psmax,psmin,sdmax,tdavg,siavg,ssavg
43,2008-11-10,9.3,3.8,16.2,1.6,4,SSE,63.7,35,,,1.1,1026.7,1028.5,1024.8,,2.3,,.6
44,2008-11-11,7.7,1.8,16.3,1.1,3,NW,66.3,33,,,0.1,1027.2,1029.6,1024.7,,1.1,,.8
45,2008-11-12,6,-.6,16.6,0.7,2,NNW,71.2,28,,,0.3,1025.3,1027.7,1023,,.4,,.8
46,2008-11-13,7.2,-.7,18.5,1.1,4,NNW,69.5,28,,,1.9,1024.5,1027.4,1021.3,,1.4,,.7
47,2008-11-14,7.8,1.4,15.2,1,2,SE,75.5,46,,,5.8,1023.5,1025.7,1021.7,,3.3,,.5
48,2008-11-15,9.4,3.5,15.4,0.5,2,NE,77.3,47,,,9.4,1017.9,1022.7,1015,,5.5,,0
49,2008-11-16,7.8,1,12.6,1.1,4,WNW,73.3,30,,,4,1017.3,1019,1015.6,,2.3,,.3
50,2008-11-17,3.1,-1.5,10.3,2.2,6,WNW,62,33,,,3.6,1019.9,1022.5,1017,,-4.5,,.4
51,2008-11-18,-1.9,-5.3,2.3,3.3,5,NW,39.2,21,,,1.8,1024.2,1026.6,1021.5,,-14.4,,.6
52,2008-11-19,-4,-10,1.5,2.5,5,NW,41.4,21,,,0,1027.4,1029.7,1024.7,,-16,,.8
53,2008-11-20,-1.8,-9.6,4,0.8,4,W,73.8,50,,,6,1024.7,1029.8,1020.1,,-5.5,,.1
54,2008-11-21,2.5,-3.6,8.4,1.9,6,NNW,63.7,22,,,2.5,1026,1030.3,1020.5,,-5.9,,.7
55,2008-11-22,1.5,-6.6,10.1,0.9,3,WNW,67.3,36,,,4.6,1028.2,1031.6,1025.2,,-4,,.5
56,2008-11-23,5.1,-1.3,13.3,0.7,2,NW,68.3,34,,,4.4,1025.7,1028,1023.6,,-.7,,.7
57,2008-11-24,4.6,1,10.2,0.7,2,NNW,77,55,,,8,1022.4,1025.4,1020.3,,.8,,.1
58,2008-11-25,3.8,-.8,10.1,0.8,2,WNW,80.5,54,,,6,1025.1,1027.7,1023.1,,.2,,.2
59,2008-11-26,4.6,-.6,10.5,0.8,2,NW,73.6,43,,,7.6,1025.9,1028.8,1023.7,,.1,,.4
60,2008-11-27,3.8,-.7,7.1,0.5,2,WNW,83.9,61,,,9,1017.4,1023.7,1015,,1.4,,
61,2008-11-28,5.2,3.6,7.2,1,3,WNW,83.1,69,,,9.3,1018.3,1020.3,1015.4,,2.3,,
62,2008-11-29,3.3,-2.2,6.3,3.3,8,NW,62.2,31,,,5.6,1018.8,1025.4,1013.9,,-3.9,,.2
63,2008-11-30,0,-5.8,7.4,1,2,W,61.6,24,,,1.4,1028.5,1030.4,1025.3,,-7.4,,.7
64,2008-12-01,4.8,-2.9,12.3,1,4,W,63.5,38,,,4.4,1023.6,1028.7,1020.1,,-1.9,,.5
65,2008-12-02,7.5,-.1,13.7,1.2,3,NNW,63.3,28,,,1.9,1020.2,1022.3,1018.6,,.5,,.5
66,2008-12-03,4,-3.8,14.6,1,5,SW,64.5,32,,,2.8,1022.5,1024.7,1019.9,,-2.7,,.7
67,2008-12-04,5.7,1.3,11.1,2.2,5,WNW,74.9,41,,,8.9,1019.1,1023,1015,,1.3,,
68,2008-12-05,-4.5,-10.7,1.6,4.2,7,NW,39,26,,,3.5,1025.6,1029.5,1021.9,,-17.3,,.4
69,2008-12-06,-9.2,-13,-3.8,2,5,NNW,42.3,22,,,0.3,1031.5,1033.6,1029.4,,-19.8,,.7
70,2008-12-07,-3.6,-12,4.5,1,3,SSE,65.5,44,,,5.3,1028.8,1033.3,1025.4,,-8.9,,.3
71,2008-12-08,3.8,-.4,10.9,1.5,5,WSW,70.6,45,,,5.8,1020.2,1025.4,1018,,-1.3,,.3
72,2008-12-09,4.9,-.7,14,0.7,2,W,69.8,34,,,1.6,1019.6,1021.4,1017.7,,-.8,,.5
73,2008-12-10,6.2,.5,14.8,0.6,2,SE,76.2,53,,,4.6,1018.8,1021.7,1016.1,,2.3,,.4
74,2008-12-11,4.4,-2.8,8.4,2.4,5,NNW,67,29,,,4.4,1018.3,1022.2,1013.5,,-2.1,,.4
75,2008-12-12,1.3,-4.6,8.9,0.9,2,WNW,71.2,40,,,3.6,1023.9,1025.3,1022,,-3.6,,.7
76,2008-12-13,0.9,-4.6,6.3,0.8,3,NW,72.2,43,,,5.8,1023.9,1025.7,1021.9,,-4.1,,.1
77,2008-12-14,-3.3,-7.8,3.2,1.2,4,WNW,57.7,15,,,0,1024.1,1026.1,1022.5,,-12.1,,.7
78,2008-12-15,-0.9,-6.3,7.2,0.7,2,N,63.6,31,,,2.6,1024.7,1026.6,1023,,-7.2,,.6
79,2008-12-16,-0.9,-7.1,8.6,0.7,2,SE,74.5,42,,,0.9,1025.1,1027.7,1022.9,,-5.1,,.7
80,2008-12-17,4.4,-.9,11.5,1.2,5,WNW,75.9,56,,,7.9,1019.7,1023.8,1016.3,,.5,,0
81,2008-12-18,-0.1,-5.3,5.1,1.3,4,WNW,64.4,29,,,0,1023.5,1025.7,1019.2,,-6.9,,.7
82,2008-12-19,-2.4,-8.6,5.7,0.8,2,NE,73.6,45,,,3.5,1023.4,1025.7,1020.4,,-6.6,,.4
83,2008-12-20,1.4,-2.6,5.2,0.8,4,SE,75.5,41,,,9.5,1021.7,1024.5,1018,,-3,,.1
84,2008-12-21,-0.1,-1.8,1.5,1,3,WNW,69.4,47,,,8.4,1023.5,1025,1021.6,,-4.8,,0
85,2008-12-22,-3.4,-5.8,-.1,2.8,5,NW,50.8,29,,,3.4,1029.2,1032,1025,,-12.5,,.7
86,2008-12-23,-2.8,-5.7,3.1,0.7,3,NNW,71.5,29,,,3.3,1028.1,1030,1027,18,-7.5,,.7
87,2008-12-24,0.6,-5.2,6.4,0.6,2,NNW,73.1,53,,,7.8,1021,1027.1,1016.5,,-3.5,,.2
88,2008-12-25,0.5,-5.1,4.6,3.8,6,NW,43.5,25,,,3,1021.6,1028.4,1015.7,,-12,,.7
89,2008-12-26,-6.2,-11,-1,1.6,5,WNW,45.8,23,,,0,1030,1031.7,1028.3,,-16.6,,.7
90,2008-12-27,-5.5,-12.3,2.2,0.9,3,NNW,58.8,24,,,2.4,1028.2,1030.3,1025.8,,-12.7,,.6
91,2008-12-28,-1.3,-7.4,5.7,0.7,2,SE,65,36,,,6.6,1024.4,1027.3,1022,,-7.2,,.6
92,2008-12-29,0,-5.3,4.3,1.1,4,NW,77.1,54,,,8.9,1021,1022.8,1018.9,,-3.6,,.1
93,2008-12-30,-2.6,-6.3,1.5,2.9,6,NW,54.2,37,,,4,1024,1026.4,1020.7,9,-11.2,,.3
94,2008-12-31,-6.4,-11.9,-.9,2,5,WNW,57.5,29,,,0.8,1025.2,1027.4,1023.3,,-13.7,,.7
95,2009-01-01,-7.3,-12.3,-1.7,1.6,4,N,56.9,33,,,0,1026.7,1028.9,1023.8,,-14.7,,.7
96,2009-01-02,-6.6,-12.8,1.8,1,2,NE,64.7,34,,,0,1030,1031.7,1028.5,,-12.6,,.7
97,2009-01-03,-5.3,-11.6,4.3,0.7,2,SE,64.6,28,,,0.4,1029.8,1032.3,1027.1,,-11.7,,.7
98,2009-01-04,-2.9,-8.2,5.8,0.7,2,NE,60.6,28,,,2.4,1027,1029.1,1024.7,,-10.1,,.7
99,2009-01-05,-3.8,-9.2,1.5,0.9,4,WNW,71.6,51,,,3.1,1027.4,1029.1,1025.1,,-8.2,,.1
100,2009-01-06,-4.5,-10.7,2,0.7,2,SE,69.9,31,,,4,1029.2,1031.4,1026.9,,-9.7,,.3
101,2009-01-07,-4.3,-9.9,4.5,0.8,2,SE,66,32,,,1,1029.6,1031.2,1027.4,,-10.1,,.7
102,2009-01-08,-4.5,-10,3.8,0.9,2,SE,63.5,27,,,1.8,1028.3,1030.9,1025.7,,-11,,.5
103,2009-01-09,-5.9,-11.1,.2,1.1,4,NW,60.3,32,,,2,1023.2,1026.6,1020.3,,-12.8,,.5
104,2009-01-10,-8,-12.6,-2.5,2,5,WNW,57.6,27,,,0.3,1022.7,1023.8,1021,,-15.5,,.7
105,2009-01-11,-7.9,-13.9,-2,2.8,6,NW,51.6,33,,,1.3,1022.9,1024.2,1020.3,,-16.8,,.7
106,2009-01-12,-7.4,-11.5,-3.3,3.5,6,WNW,49.2,36,,,2.4,1027.4,1029.8,1024.1,,-16.4,,.5
107,2009-01-13,-7.8,-14.4,-1.2,1.4,4,NNW,56.1,28,,,0.4,1030.2,1032.2,1028.6,,-15.6,,.7
108,2009-01-14,-7.1,-12.5,-2.6,2.2,5,NW,57.9,28,,,1.6,1029.5,1033.3,1026.6,15,-14.9,,.7
109,2009-01-15,-9.8,-16.5,-1.8,1.2,4,NW,47.5,14,,,0.8,1032.8,1035.1,1030.8,,-20.5,,.7
110,2009-01-16,-4.9,-12,-1.1,0.4,1,NNW,72.3,50,,,7.5,1029.5,1032.5,1027.4,,-8.8,,
111,2009-01-17,-1.1,-5.2,5.8,0.5,2,NE,78.5,50,,,4.4,1027,1030.1,1023.9,,-4.6,,.4
112,2009-01-18,0.3,-4.1,3.8,0.7,4,WNW,88.6,73,,,9,1017.8,1024.4,1013.4,,-1.5,,
113,2009-01-19,-0.1,-5,4.9,1.5,5,NW,61.3,26,,,2.5,1023.3,1025.3,1018.2,,-7.2,,.5
114,2009-01-20,0.1,-3.8,7.7,0.8,2,SE,60.5,25,,,5.4,1024.5,1026.8,1022,,-7,,.6
115,2009-01-21,-0.1,-3.6,6.7,0.7,2,NW,72.4,51,,,6.3,1021.6,1024,1019.3,,-4.4,,.2
116,2009-01-22,0.8,-5.3,9.1,1.1,5,NW,71.6,36,,,4.1,1016.3,1020.5,1012.8,,-4,,.5
117,2009-01-23,-6.6,-10.9,1.5,4.4,7,WNW,41.9,24,,,1.9,1022.6,1027.8,1015.7,,-18.6,,.7
118,2009-01-24,-8.8,-14.4,-4.2,1.4,4,W,74.8,44,,,6.8,1021,1027.8,1017.7,105,-11.8,,
119,2009-01-25,-5.8,-16.8,-.2,1.4,4,WNW,74.3,49,,,6.8,1021.3,1023.7,1018.9,132,-9.6,,.4
120,2009-01-26,-3.7,-9.7,-.1,1.6,5,WNW,72,43,,,5.8,1024.9,1029.8,1021.6,130,-8.7,,.3
121,2009-01-27,-6,-13.2,3.8,0.8,2,SE,67.9,32,,,0.4,1030.6,1033,1028.9,48,-11.3,,.8
122,2009-01-28,-4.3,-12.3,7.6,0.6,2,SE,67.7,22,,,0,1028.9,1031.5,1026.1,24,-10,,.8
123,2009-01-29,-2.1,-7.3,4.5,0.5,2,WNW,72.1,41,,,9,1024.6,1027.6,1022.3,0,-6.5,,0
124,2009-01-30,3.5,-3.2,9.9,2.1,6,SE,69.6,51,,,7.6,1019.3,1022.5,1016.6,,-1.7,,.1
125,2009-01-31,3.6,-2,10.2,1.8,4,SSE,64.1,33,,,2.9,1024.4,1028.3,1020.1,,-3.6,,.4
126,2009-02-01,2.2,-3.4,10.3,0.8,2,NNE,67.6,34,,,2.4,1029.5,1031.7,1027.7,,-3.6,,.7
127,2009-02-02,2.7,-3.2,10.2,0.5,2,NNW,77.4,53,,,7.6,1025.8,1029,1023.4,,-.8,,.1
128,2009-02-03,5.8,1.7,12.6,0.8,2,N,74.6,46,,,7,1021.9,1023.6,1019.8,,1.3,,.4
129,2009-02-04,2.6,-2.1,11.5,0.7,2,NNE,74,14,,,3.1,1022.2,1024.3,1019.6,,-2.2,,.5
130,2009-02-05,2.1,-3,5.3,0.6,2,NW,72.5,40,,,8.6,1022.8,1025.1,1021.3,,-2.6,,
131,2009-02-06,1.4,-3.1,8.5,0.9,2,NNE,77.4,51,,,3,1024.9,1027.5,1022.8,,-2.4,,.3
132,2009-02-07,0.7,-4.1,5.4,0.5,1,WNW,83,66,,,7.5,1023.8,1025.5,1021.6,,-1.8,,
133,2009-02-08,3.4,-.5,10.4,0.8,3,NE,71.3,37,,,2.8,1024.1,1027,1021.2,,-1.8,,.5
134,2009-02-09,3.3,-.2,8.1,1.3,5,WNW,63.3,31,,,7.1,1017.6,1022.3,1014.6,,-3.5,,.4
135,2009-02-10,3,-1.5,6.2,1.4,3,NW,71.5,52,,,8.3,1015.9,1018.2,1013.1,,-1.9,,
136,2009-02-11,3.6,-1.5,10.2,1.1,4,NNW,73.5,41,,,5.6,1012.5,1015.3,1010.7,,-.9,,.3
137,2009-02-12,5.8,-3.9,15.1,1.6,5,S,58.9,21,,,6.8,1011.7,1016.8,1005.7,,-2.8,,.2
138,2009-02-13,14,4.9,17.8,3.6,5,SW,75.7,55,,,10,999.1,1006.3,993,,9.2,,
139,2009-02-14,4.6,0,9,1.7,4,NNW,77.5,56,,,7.9,1013.6,1017.3,1006.2,,.7,,.2
140,2009-02-15,0,-4,2.5,2.4,6,NW,63.3,29,,,7.4,1021,1025.1,1016.9,,-7.4,,
141,2009-02-16,-4.9,-7.8,-1.3,3.3,6,N,32.5,13,,,0.9,1029.7,1031.6,1024.9,,-19.8,,.8
142,2009-02-17,-5.3,-11.2,1,1.4,4,NW,47.4,21,,,0.6,1031,1033.7,1028.4,,-15.7,,.8
143,2009-02-18,-3.4,-8.2,2.6,1.2,4,W,57,29,,,2.8,1028.7,1030.8,1026.6,,-10.9,,.5
144,2009-02-19,0.2,-3.5,5.3,0.9,3,SSE,66.2,34,,,9.5,1021.1,1028.4,1013.5,15,-5.8,,0
145,2009-02-20,-1,-5.8,1.9,3.3,7,NW,65.7,35,,,5.8,1016.5,1023.2,1011.8,33,-7.5,,.3
146,2009-02-21,-3.2,-9.9,4.2,1.1,3,WNW,58.8,25,,,1,1021.5,1025.6,1018.3,,-10.8,,.8
147,2009-02-22,0.4,-5.4,6.1,0.6,2,W,70,52,,,8.6,1016,1020.1,1012.3,,-4.3,,
148,2009-02-23,4.7,-3,13.2,1.2,4,SSE,68.3,37,,,5.3,1017.9,1019.5,1014.9,,-1.1,,.6
149,2009-02-24,7.1,2.7,12.1,1,3,NNW,68.9,48,,,9.5,1016.2,1019.1,1013.8,,1.5,,.1
150,2009-02-25,5.2,-2.5,10.3,1.9,5,NW,58.2,28,,,6.6,1019.1,1023.9,1014,,-3,,.4
151,2009-02-26,2.1,-3.7,8.3,0.9,2,NE,49.1,14,,,6.8,1023.6,1026,1021,,-9.2,,.5
152,2009-02-27,3.6,-.6,10.6,1.2,3,WNW,45.1,11,,,5.8,1021.6,1023.5,1018.9,,-9.3,,.7
153,2009-02-28,3.1,-4.3,11.7,1.3,4,N,49.6,15,,,4.9,1024.5,1026.5,1021.9,,-8,,.7
154,2009-03-01,2.7,-4.8,11.2,1.9,6,WNW,46.1,12,,,0.3,1027.4,1029.6,1024.8,,-10.1,,.9
155,2009-03-02,2.8,-5.4,9.7,1.7,5,W,52,31,,,5.8,1027.4,1031.1,1024.8,,-6.5,,.5
156,2009-03-03,2.4,.3,4.6,1.2,3,WNW,83.6,49,,,9.8,1021.6,1025.1,1019.4,1,0,,
157,2009-03-04,4,-.7,10.3,0.9,2,W,67,34,,,4.6,1021.4,1023.2,1019,,-2.3,,.6
158,2009-03-05,4.7,-1.1,10.8,0.9,3,SSE,78.4,51,,,9.5,1016.9,1022.9,1012.5,,1.5,,
159,2009-03-06,3.2,-1.5,7.2,4.1,7,WNW,56.7,24,,,4,1018,1024.8,1013.4,,-5.9,,.5
160,2009-03-07,0.9,-6,8.7,1.3,4,WNW,47.8,20,,,2.6,1024.8,1027.1,1021.6,,-9.8,,.8
161,2009-03-08,4.4,-3.4,13.8,1.4,5,WNW,49.1,12,,,5.8,1020.7,1024.3,1017.3,,-7.5,,.7
162,2009-03-09,5.4,-1.5,14.5,1.7,5,WNW,59.3,29,,,3.8,1019.5,1021.5,1016.1,,-2.2,,.6
163,2009-03-10,4.3,-1.3,10.7,2.1,5,NW,48.7,11,,,2.8,1022.3,1024.2,1020,,-8.1,,.8
164,2009-03-11,2.5,-2.7,11,1,3,WNW,44,14,,,4.5,1026.6,1029.6,1023.8,,-10.1,,.5
165,2009-03-12,6.5,-3.9,14.7,1.6,6,SE,44.4,11,,,7.8,1025.1,1030.9,1021.7,,-7.2,,.5
166,2009-03-13,4.4,-2.4,7.5,3,7,NW,77.2,43,,,8.8,1012.4,1022.1,1008.2,,-.2,,
167,2009-03-14,-0.4,-4,4.3,4,7,NW,39.7,26,,,0,1019.9,1022.2,1017,,-12.6,,.8
168,2009-03-15,3.9,-5.2,11.4,1.9,5,NW,56.1,32,,,4.3,1017.1,1022.5,1012.7,,-4.3,,.6
169,2009-03-16,11.2,5.6,17.3,2.2,6,WNW,58.4,33,,,4.6,1012.3,1014.9,1009,,2.5,,.4
170,2009-03-17,11.7,1.2,23,1.5,6,NW,51,10,,,0,1012.7,1016.4,1009.3,,-1.8,,.7
171,2009-03-18,18.6,11.2,23.9,1.8,6,NW,55.7,40,,,7.3,1012,1013.1,1010.3,,9.7,,.2
172,2009-03-20,12.4,7.2,20,2.7,6,SE,46.3,22,,,1.9,1017.9,1021.1,1012.5,,.3,,.7
173,2009-03-21,13.5,4.3,22.6,2.1,5,W,48.9,13,,,4.9,1010.1,1019.3,998.7,,.8,,.7
174,2009-03-22,10.6,3.6,13.6,2.6,5,WNW,83.1,67,,,7.9,1003.3,1014.1,995.2,,7.1,,0
175,2009-03-23,5.2,.9,10.3,1.9,4,WNW,58.6,34,,,3.3,1018,1020,1014,,-2.7,,.5
176,2009-03-24,2.2,-2.9,7.5,1.8,5,NNE,52.5,15,,,6,1019.6,1021.6,1016.8,,-7.8,,.4
177,2009-03-25,2.3,-3.8,7.3,2.9,7,NW,46.9,18,,,2.4,1017.9,1019.9,1015.3,,-9.2,,.9
178,2009-03-26,4.2,.1,8.3,2.7,7,WNW,61.3,30,,,6.6,1018.2,1022.4,1015.5,,-3.5,,.1
179,2009-03-27,2.9,-3.2,9.1,1.9,5,NNW,46,15,,,0.5,1024,1026.2,1022.1,,-9.4,,.9
180,2009-03-28,4.2,-3.2,12.1,1.5,4,NNW,41.3,17,,,1.9,1022.4,1024.6,1019.2,,-9.4,,.8
181,2009-03-29,4.9,-3.4,12.8,2,5,SE,48,27,,,3.4,1024.4,1027.3,1021.8,,-5.6,,.5
182,2009-03-30,7,3.7,12.2,2,4,N,63,37,,,8.4,1025.5,1027.5,1023,,.5,,.2
183,2009-03-31,5.5,2.3,11,2.3,5,NW,62.3,24,,,6.8,1022.9,1024.8,1020.2,,-2.4,,.3
184,2009-04-01,4.4,-.8,10.2,1.6,5,NW,57.8,33,,,4.1,1022.8,1025.2,1020.5,,-3.3,,.5
185,2009-04-02,6.4,-1.1,14.4,1.7,4,WNW,52.5,28,,,1.9,1025.6,1028.1,1022.4,,-3.7,,.8
186,2009-04-03,8.2,2.1,16.1,1.6,5,WNW,43,18,,,7.8,1021.8,1026.3,1018.2,,-4.3,,.3
187,2009-04-04,7.8,4.1,12.1,2.4,5,WNW,59.3,43,,,6.4,1019.6,1021.1,1017.1,,.2,,.1
188,2009-04-05,8.4,.2,16.8,1.3,4,NW,59.9,26,,,0,1017.6,1020.6,1014.3,,-.6,,.8
189,2009-04-06,9.9,.7,18.6,1.8,6,WNW,46.9,16,,,0,1014.4,1016.8,1011.1,,-2.6,,.9
190,2009-04-07,12.4,2.5,22.7,1.3,4,NW,43.3,13,,,0.6,1016.8,1019,1014.4,,-2.1,,.9
191,2009-04-08,14.6,5.1,24.9,1.2,4,W,39.7,12,,,1.3,1020,1022.2,1016.8,,-1.3,,.8
192,2009-04-09,15.6,5.4,26.5,1.2,3,NNW,40.8,11,,,0,1021.7,1024.1,1018.2,,-.2,,.9
193,2009-04-10,15.9,6,25.8,1.5,4,NW,41,13,,,0,1020.9,1023.6,1017.6,,0,,.9
194,2009-04-11,16.2,5,27,1.3,4,NNW,36.3,11,,,1.6,1018.4,1022,1014.4,,-1.6,,.8
195,2009-04-12,15.6,9.5,23.1,1.6,5,WNW,40.5,20,,,4.9,1014.2,1017.1,1011.6,,1.1,,.3
196,2009-04-13,15.3,6.4,22.1,1.5,4,NNW,47.8,27,,,7.6,1008,1013,1004.7,,3.6,,.1
197,2009-04-14,12.3,7.1,17.7,2.5,7,SE,58.8,32,,,6,1006.6,1009.5,1004.6,,4,,.2
198,2009-04-15,8.8,4.4,14.5,1.1,5,NW,83.5,57,,,7.5,1008.2,1011,1005.4,,6,,.1
199,2009-04-16,11.7,6.9,16.6,1.9,4,SSE,65.7,45,,,7,1011.8,1013.7,1009.2,,4.9,,.3
200,2009-04-17,12,3.4,20.4,1.4,4,WNW,53.2,18,,,0.3,1015,1017.4,1012.2,,.5,,.8
201,2009-04-18,13.7,3.1,24.8,1.2,3,NW,43,13,,,1.5,1016.3,1018.1,1013.7,,-1.3,,.8
202,2009-04-19,18.2,5.2,30.2,1.5,5,W,39.8,10,,,5.1,1012.7,1018.1,1008.4,,1.3,,.7
203,2009-04-20,16.1,13.6,20.6,3.7,7,SE,64.9,35,,,10,1000.8,1009.7,992.2,,9.3,,
204,2009-04-21,10.9,9.4,14.6,4.6,7,WNW,68.5,53,,,9,1002.5,1007.9,993.9,,4.9,,
205,2009-04-22,10.7,6.7,15.6,3.3,7,NW,57.1,37,,,3,1012.3,1016.9,1007.9,,2.1,,.7
206,2009-04-23,12.2,3.5,20.9,1.4,4,SE,57,28,,,5.3,1018.7,1021.6,1015.5,,2.5,,.7
207,2009-04-24,12.8,10.7,17.5,2,5,ESE,65.8,38,,,10,1015.3,1020,1010.3,,6.3,,.1
208,2009-04-25,9,6.9,11.4,2.3,5,WNW,85.2,70,,,10,1007,1010.4,1005.5,,6.2,,
209,2009-04-26,9,5.2,12.9,1.5,4,NW,65.5,40,,,9.1,1011.1,1012.8,1008.2,,2.5,,.1
210,2009-04-27,10,4.3,17.1,1.7,6,E,66.6,30,,,5.5,1013.8,1016.9,1010.8,,3.2,,.4
211,2009-04-28,10.5,4,21.6,1.4,7,E,66.7,21,,,1.9,1019.9,1023.7,1016.9,,3.7,,.5
