◎ 유역 메타정보 (기준일: 2023.07.20),,,,,,,,,,,,,,,,,
대권역코드,대권역명,유역면적(㎢),중권역코드,중권역명,유역면적(㎢),표준유역코드,표준유역명,유역면적(㎢),관측소타입,관측소코드,관측소명,관측시작일,좌표(경도),좌표(위도),티센가중치,시명,구명
102,북한강,10744,1010,춘천댐,1587.449,101012,춘천댐하류,52.7,asos,101,춘천 test,1966.01.01.,127.7357,37.90256,0.42482,-,-
102,북한강,10744,1012,소양강,1852.04,101207,소양강댐,400.5,asos,101,춘천 test,1966.01.01.,127.7357,37.90256,0.027039,-,-
102,북한강,10744,1012,소양강,1852.04,101208,소양강댐하류,88.9,asos,101,춘천 test,1966.01.01.,127.7357,37.90256,0.29487,-,-
102,북한강,10744,1013,의암댐,721.7,101301,공지천,57.2,asos,101,춘천 test,1966.01.01.,127.7357,37.90256,1,-,-
102,북한강,10744,1013,의암댐,721.7,101302,의암댐,81.8,asos,101,춘천 test,1966.01.01.,127.7357,37.90256,0.650984,-,-
102,북한강,10744,1013,의암댐,721.7,101303,팔미천,74.5,asos,101,춘천 test,1966.01.01.,127.7357,37.90256,0.322801,-,-
102,북한강,10744,1014,홍천강,1566.05,101406,덕치천합류전,88.5,asos,101,춘천 test,1966.01.01.,127.7357,37.90256,2.80E-05,-,-
102,북한강,10744,1014,홍천강,1566.05,101409,성동천,72,asos,101,춘천 test,1966.01.01.,127.7357,37.90256,0.116233,-,-
102,북한강,10744,1014,홍천강,1566.05,101410,양덕원천합류전,80.4,asos,101,춘천 test,1966.01.01.,127.7357,37.90256,0.007504,-,-
131,한강동해,3887,1302,강릉남대천,1050.109,130202,사천천,116.5,asos,104,북강릉,2008.07.28.,128.8553,37.80456,0.457401,강원도,강릉시
131,한강동해,3887,1302,강릉남대천,1050.109,130202,사천천,116.5,asos,105,강릉,1911.10.03.,128.8909,37.75146,0.087721,강원도,강릉시
131,한강동해,3887,1302,강릉남대천,1050.109,130203,오봉댐,109.8,asos,105,강릉,1911.10.03.,128.8909,37.75146,0.019512,강원도,강릉시
131,한강동해,3887,1302,강릉남대천,1050.109,130204,강릉남대천,148.6,asos,105,강릉,1911.10.03.,128.8909,37.75146,0.519635,강원도,강릉시
131,한강동해,3887,1302,강릉남대천,1050.109,130205,군선천,119.4,asos,105,강릉,1911.10.03.,128.8909,37.75146,0.248617,강원도,강릉시
131,한강동해,3887,1302,강릉남대천,1050.109,130207,전천,183.9,asos,106,동해,1992.05.01.,129.1243,37.50708,0.331692,강원도,동해시
131,한강동해,3887,1303,삼척오십천,986.64,130302,삼척오십천하류,243.2,asos,106,동해,1992.05.01.,129.1243,37.50708,0.028429,강원도,동해시
103,팔당댐하류,3116.899,1018,한강서울,1537.219,101809,청계천,62.7,asos,108,서울,1907.10.01.,126.9657,37.57141,0.125568,서울특별시,종로구
103,팔당댐하류,3116.899,1018,한강서울,1537.219,101812,홍제천합류전,38.9,asos,108,서울,1907.10.01.,126.9657,37.57141,0.097029,서울특별시,종로구
103,팔당댐하류,3116.899,1018,한강서울,1537.219,101813,홍제천,50.9,asos,108,서울,1907.10.01.,126.9657,37.57141,0.078156,서울특별시,종로구
103,팔당댐하류,3116.899,1019,한강고양,848.4199,101907,굴포천,112.5,asos,112,인천,1904.08.29.,126.6249,37.47771,0.002648,인천광역시,중구
121,한강서해,1991,1201,한강서해,1009.549,120102,공촌천,144.5,asos,112,인천,1904.08.29.,126.6249,37.47771,0.412127,인천광역시,중구
101,남한강,12394,1002,평창강,1773.39,100208,주천강상류,181.5,asos,114,원주,1971.09.06.,127.9466,37.33755,3.49E-04,강원도,원주시
101,남한강,12394,1003,충주댐,2483.82,100316,원서천,137.5,asos,114,원주,1971.09.06.,127.9466,37.33755,0.040598,강원도,원주시
101,남한강,12394,1006,섬강,1491.01,100605,원주천합류전,108,asos,114,원주,1971.09.06.,127.9466,37.33755,0.061458,강원도,원주시
101,남한강,12394,1006,섬강,1491.01,100606,원주천,152.9,asos,114,원주,1971.09.06.,127.9466,37.33755,0.733199,강원도,원주시
101,남한강,12394,1006,섬강,1491.01,100608,간현수위표,195.7,asos,114,원주,1971.09.06.,127.9466,37.33755,0.108118,강원도,원주시
101,남한강,12394,1006,섬강,1491.01,100609,서곡천,113.5,asos,114,원주,1971.09.06.,127.9466,37.33755,0.597538,강원도,원주시
241,낙동강동해,2973,2401,왕피천,1405.849,240111,울릉도,73,asos,115,울릉도,1938.08.10.,130.8986,37.48128,0.154261,경상북도,울릉군
103,팔당댐하류,3116.899,1018,한강서울,1537.219,101804,탄천상류,101,asos,119,수원,1964.01.01.,126.983,37.25746,0.013075,경기도,수원시권선구
103,팔당댐하류,3116.899,1018,한강서울,1537.219,101814,안양천상류,83.6,asos,119,수원,1964.01.01.,126.983,37.25746,0.081559,경기도,수원시권선구
111,안성천,1660,1101,안성천,1658.66,110110,기흥댐,52.5,asos,119,수원,1964.01.01.,126.983,37.25746,0.001073,경기도,수원시권선구
111,안성천,1660,1101,안성천,1658.66,110112,황구지천상류,148,asos,119,수원,1964.01.01.,126.983,37.25746,0.915787,경기도,수원시권선구
111,안성천,1660,1101,안성천,1658.66,110113,황구지천하류,116.2,asos,119,수원,1964.01.01.,126.983,37.25746,0.189503,경기도,수원시권선구
121,한강서해,1991,1202,시화호,961.26,120202,반월천,107.2,asos,119,수원,1964.01.01.,126.983,37.25746,0.32841,경기도,수원시권선구
121,한강서해,1991,1202,시화호,961.26,120206,남양방조제,243.8,asos,119,수원,1964.01.01.,126.983,37.25746,0.073441,경기도,수원시권선구
101,남한강,12394,1001,남한강상류,2447.85,100115,창리천,102.8,asos,121,영월,1994.12.01.,128.4574,37.18125,0.053444,강원도,영월군
101,남한강,12394,1001,남한강상류,2447.85,100116,석항천,128,asos,121,영월,1994.12.01.,128.4574,37.18125,0.133134,강원도,영월군
101,남한강,12394,1001,남한강상류,2447.85,100117,영월,157.2,asos,121,영월,1994.12.01.,128.4574,37.18125,0.413089,강원도,영월군
101,남한강,12394,1002,평창강,1773.39,100206,평창강중류,191,asos,121,영월,1994.12.01.,128.4574,37.18125,0.114656,강원도,영월군
101,남한강,12394,1002,평창강,1773.39,100210,주천강하류,89.5,asos,121,영월,1994.12.01.,128.4574,37.18125,0.049459,강원도,영월군
101,남한강,12394,1002,평창강,1773.39,100211,쌍용천,98.8,asos,121,영월,1994.12.01.,128.4574,37.18125,0.345446,강원도,영월군
101,남한강,12394,1002,평창강,1773.39,100212,문곡천,93.2,asos,121,영월,1994.12.01.,128.4574,37.18125,0.638183,강원도,영월군
101,남한강,12394,1002,평창강,1773.39,100213,평창강하류,85.9,asos,121,영월,1994.12.01.,128.4574,37.18125,1,강원도,영월군
101,남한강,12394,1003,충주댐,2483.82,100301,평창강합류후,52.5,asos,121,영월,1994.12.01.,128.4574,37.18125,0.590827,강원도,영월군
101,남한강,12394,1003,충주댐,2483.82,100307,하일천합류후,189.9,asos,121,영월,1994.12.01.,128.4574,37.18125,0.112195,강원도,영월군
101,남한강,12394,1003,충주댐,2483.82,100319,충주댐,447.8,asos,127,충주,1972.01.01.,127.9526,36.97037,0.121505,충청북도,충주시
101,남한강,12394,1003,충주댐,2483.82,100320,충주댐하류,43.4,asos,127,충주,1972.01.01.,127.9526,36.97037,0.821923,충청북도,충주시
101,남한강,12394,1004,달천,1614.359,100410,음성천,143.1,asos,127,충주,1972.01.01.,127.9526,36.97037,0.006897,충청북도,충주시
101,남한강,12394,1004,달천,1614.359,100411,석문동천합류전,48,asos,127,충주,1972.01.01.,127.9526,36.97037,0.603543,충청북도,충주시
101,남한강,12394,1004,달천,1614.359,100412,석문동천,99.1,asos,127,충주,1972.01.01.,127.9526,36.97037,0.039855,충청북도,충주시
101,남한강,12394,1004,달천,1614.359,100413,요도천,150.5,asos,127,충주,1972.01.01.,127.9526,36.97037,0.122184,충청북도,충주시
101,남한강,12394,1004,달천,1614.359,100414,달천하류,104,asos,127,충주,1972.01.01.,127.9526,36.97037,0.956266,충청북도,충주시
101,남한강,12394,1005,충주댐하류,524.4199,100501,충주조정지댐,40.8,asos,127,충주,1972.01.01.,127.9526,36.97037,0.1137,충청북도,충주시
101,남한강,12394,1005,충주댐하류,524.4199,100502,목계수위표,155.7,asos,127,충주,1972.01.01.,127.9526,36.97037,0.004328,충청북도,충주시
321,금강서해,2936,3201,대호방조제,685.0599,320101,대호방조제,304,asos,129,서산,1968.01.01.,126.4939,36.77661,0.313588,충청남도,서산시
321,금강서해,2936,3201,대호방조제,685.0599,320102,석문방조제,278.7,asos,129,서산,1968.01.01.,126.4939,36.77661,0.021844,충청남도,서산시
321,금강서해,2936,3202,부남방조제,1336.04,320202,반계천,205.1,asos,129,서산,1968.01.01.,126.4939,36.77661,0.102021,충청남도,서산시
321,금강서해,2936,3202,부남방조제,1336.04,320203,부남방조제,158.4,asos,129,서산,1968.01.01.,126.4939,36.77661,0.033167,충청남도,서산시
321,금강서해,2936,3202,부남방조제,1336.04,320204,간월방조제,492.8,asos,129,서산,1968.01.01.,126.4939,36.77661,0.414777,충청남도,서산시
241,낙동강동해,2973,2401,왕피천,1405.849,240102,남대천,137.2,asos,130,울진,1971.01.12.,129.4127,36.99176,0.176948,경상북도,울진군
241,낙동강동해,2973,2401,왕피천,1405.849,240104,매화천,86.4,asos,130,울진,1971.01.12.,129.4127,36.99176,0.255279,경상북도,울진군
241,낙동강동해,2973,2401,왕피천,1405.849,240105,광천,176.8,asos,130,울진,1971.01.12.,129.4127,36.99176,0.04854,경상북도,울진군
241,낙동강동해,2973,2401,왕피천,1405.849,240106,왕피천,103.8,asos,130,울진,1971.01.12.,129.4127,36.99176,0.213334,경상북도,울진군
241,낙동강동해,2973,2401,왕피천,1405.849,240107,척산천,137.6,asos,130,울진,1971.01.12.,129.4127,36.99176,0.180584,경상북도,울진군
301,금강,9906,3010,대청댐하류,129.82,301001,매포수위표,59.2,asos,131,청주,1967.01.01.,127.4406,36.63924,0.130834,충청북도,흥덕구
301,금강,9906,3010,대청댐하류,129.82,301002,미호천합류전,70.5,asos,131,청주,1967.01.01.,127.4406,36.63924,0.001704,충청북도,흥덕구
301,금강,9906,3011,미호천,1854.979,301109,작천보,110,asos,131,청주,1967.01.01.,127.4406,36.63924,0.00866,충청북도,흥덕구
301,금강,9906,3011,미호천,1854.979,301110,무심천,196.8,asos,131,청주,1967.01.01.,127.4406,36.63924,0.128237,충청북도,흥덕구
301,금강,9906,3011,미호천,1854.979,301113,석화수위표,103.9,asos,131,청주,1967.01.01.,127.4406,36.63924,0.32477,충청북도,흥덕구
301,금강,9906,3009,갑천,648.9899,300902,유성수위표,94.1,asos,133,대전,1969.01.01.,127.3721,36.372,0.163459,대전광역시,유성구
301,금강,9906,3009,갑천,648.9899,300904,대전천,88.4,asos,133,대전,1969.01.01.,127.3721,36.372,0.023702,대전광역시,유성구
301,금강,9906,3009,갑천,648.9899,300905,유등천하류,59.6,asos,133,대전,1969.01.01.,127.3721,36.372,0.322782,대전광역시,유성구
301,금강,9906,3009,갑천,648.9899,300906,갑천하류,107.9,asos,133,대전,1969.01.01.,127.3721,36.372,0.673433,대전광역시,유성구
301,금강,9906,3012,금강공주,1843.729,301201,세종보,83,asos,133,대전,1969.01.01.,127.3721,36.372,0.082837,대전광역시,유성구
301,금강,9906,3012,금강공주,1843.729,301202,용수천,95.1,asos,133,대전,1969.01.01.,127.3721,36.372,0.035113,대전광역시,유성구
202,낙동강중류,7786,2010,감천,1005.33,201003,감천중류,126.9,asos,135,추풍령,1937.01.11.,127.9945,36.22023,0.021599,충청북도,영동군
202,낙동강중류,7786,2010,감천,1005.33,201004,직지사천,129.3,asos,135,추풍령,1937.01.11.,127.9945,36.22023,0.464689,충청북도,영동군
202,낙동강중류,7786,2010,감천,1005.33,201006,아천,95.7,asos,135,추풍령,1937.01.11.,127.9945,36.22023,0.102705,충청북도,영동군
301,금강,9906,3004,영동천,705.51,300406,영동천,145.4,asos,135,추풍령,1937.01.11.,127.9945,36.22023,0.002983,충청북도,영동군
301,금강,9906,3005,초강,664.6199,300501,초강상류,258.9,asos,135,추풍령,1937.01.11.,127.9945,36.22023,0.674213,충청북도,영동군
301,금강,9906,3005,초강,664.6199,300502,석천,221.3,asos,135,추풍령,1937.01.11.,127.9945,36.22023,0.346786,충청북도,영동군
301,금강,9906,3005,초강,664.6199,300503,초강하류,184.3,asos,135,추풍령,1937.01.11.,127.9945,36.22023,0.121603,충청북도,영동군
201,낙동강상류,7324,2001,안동댐,1628.68,200111,안동댐,282.9,asos,136,안동,1973.01.01.,128.7073,36.57292,0.112455,경상북도,안동시
201,낙동강상류,7324,2001,안동댐,1628.68,200112,안동댐역조정지,37.9,asos,136,안동,1973.01.01.,128.7073,36.57292,0.976318,경상북도,안동시
201,낙동강상류,7324,2002,임하댐,1975.77,200216,반변천하류,88.6,asos,136,안동,1973.01.01.,128.7073,36.57292,0.508238,경상북도,안동시
201,낙동강상류,7324,2003,안동댐하류,980.4099,200301,송야천,107.1,asos,136,안동,1973.01.01.,128.7073,36.57292,0.876444,경상북도,안동시
201,낙동강상류,7324,2003,안동댐하류,980.4099,200303,미천하류,166.2,asos,136,안동,1973.01.01.,128.7073,36.57292,0.015873,경상북도,안동시
201,낙동강상류,7324,2003,안동댐하류,980.4099,200304,안동댐역조정지하류,99.1,asos,136,안동,1973.01.01.,128.7073,36.57292,0.244361,경상북도,안동시
201,낙동강상류,7324,2003,안동댐하류,980.4099,200305,신역천,79.4,asos,136,안동,1973.01.01.,128.7073,36.57292,0.156245,경상북도,안동시
201,낙동강상류,7324,2004,내성천,1816.06,200404,영주댐,46.4,asos,136,안동,1973.01.01.,128.7073,36.57292,0.004311,경상북도,안동시
201,낙동강상류,7324,2004,내성천,1816.06,200408,내성천중류,80.5,asos,136,안동,1973.01.01.,128.7073,36.57292,0.247864,경상북도,안동시
201,낙동강상류,7324,2005,영강,914.4299,200505,이안천상류,145.1,asos,137,상주,2002.01.01.,128.1574,36.40837,0.001808,경상북도,상주시
201,낙동강상류,7324,2005,영강,914.4299,200506,이안천하류,97.1,asos,137,상주,2002.01.01.,128.1574,36.40837,0.013842,경상북도,상주시
201,낙동강상류,7324,2005,영강,914.4299,200507,영강하류,62.7,asos,137,상주,2002.01.01.,128.1574,36.40837,0.06804,경상북도,상주시
202,낙동강중류,7786,2006,병성천,433.1099,200601,병성천상류,179.8,asos,137,상주,2002.01.01.,128.1574,36.40837,0.392431,경상북도,상주시
202,낙동강중류,7786,2006,병성천,433.1099,200602,북천,125,asos,137,상주,2002.01.01.,128.1574,36.40837,0.529916,경상북도,상주시
202,낙동강중류,7786,2006,병성천,433.1099,200603,병성천하류,128.1,asos,137,상주,2002.01.01.,128.1574,36.40837,0.801279,경상북도,상주시
202,낙동강중류,7786,2007,낙동상주,224.13,200702,상주보,73.8,asos,137,상주,2002.01.01.,128.1574,36.40837,0.39981,경상북도,상주시
202,낙동강중류,7786,2007,낙동상주,224.13,200703,위천합류전,133.3,asos,137,상주,2002.01.01.,128.1574,36.40837,0.675351,경상북도,상주시
202,낙동강중류,7786,2009,구미보,175.5099,200902,구미보,154.6,asos,137,상주,2002.01.01.,128.1574,36.40837,0.062729,경상북도,상주시
202,낙동강중류,7786,2010,감천,1005.33,201008,감천하류,239.2,asos,137,상주,2002.01.01.,128.1574,36.40837,0.001014,경상북도,상주시
211,형산강,1140,2101,형산강,1139.989,210109,형산강하류,139.8,asos,138,포항,1943.01.01.,129.38,36.032,0.778546,경상북도,포항시 남구
241,낙동강동해,2973,2402,영덕오십천,905.65,240208,곡강천,136.4,asos,138,포항,1943.01.01.,129.38,36.032,0.612125,경상북도,포항시 남구
241,낙동강동해,2973,2403,대종천,656.59,240301,동해면,44.5,asos,138,포항,1943.01.01.,129.38,36.032,0.310937,경상북도,포항시 남구
241,낙동강동해,2973,2403,대종천,656.59,240302,냉천,88,asos,138,포항,1943.01.01.,129.38,36.032,0.7713,경상북도,포항시 남구
241,낙동강동해,2973,2403,대종천,656.59,240303,대화천,162.8,asos,138,포항,1943.01.01.,129.38,36.032,0.032171,경상북도,포항시 남구
301,금강,9906,3014,금강하구언,536.58,301402,길산천,112.9,asos,140,군산,1968.01.01.,126.7613,36.00529,0.061808,전라북도,군산시
301,금강,9906,3014,금강하구언,536.58,301403,금강하구언,194.9,asos,140,군산,1968.01.01.,126.7613,36.00529,0.260613,전라북도,군산시
321,금강서해,2936,3203,금강서해,954.14,320308,판교천,96.8,asos,140,군산,1968.01.01.,126.7613,36.00529,0.048613,전라북도,군산시
321,금강서해,2936,3203,금강서해,954.14,320309,경포천,45.8,asos,140,군산,1968.01.01.,126.7613,36.00529,1,전라북도,군산시
321,금강서해,2936,3203,금강서해,954.14,320310,옥서면,64.8,asos,140,군산,1968.01.01.,126.7613,36.00529,0.056202,전라북도,군산시
331,만경동진,3021,3301,만경강,1405.599,330112,탑천,146.9,asos,140,군산,1968.01.01.,126.7613,36.00529,0.00488,전라북도,군산시
331,만경동진,3021,3301,만경강,1405.599,330113,만경강하류,179.3,asos,140,군산,1968.01.01.,126.7613,36.00529,0.112747,전라북도,군산시
331,만경동진,3021,3303,새만금,844.0499,330303,새만금방조제,700.4,asos,140,군산,1968.01.01.,126.7613,36.00529,0.056957,전라북도,군산시
202,낙동강중류,7786,2012,금호강,2092.419,201210,남천,108.5,asos,143,대구,1907.01.31.,128.6529,35.87797,0.051931,대구광역시,동구
202,낙동강중류,7786,2012,금호강,2092.419,201211,동촌수위표,82.2,asos,143,대구,1907.01.31.,128.6529,35.87797,0.417432,대구광역시,동구
202,낙동강중류,7786,2012,금호강,2092.419,201212,공산댐,58.8,asos,143,대구,1907.01.31.,128.6529,35.87797,0.203572,대구광역시,동구
202,낙동강중류,7786,2012,금호강,2092.419,201213,동화천,40.4,asos,143,대구,1907.01.31.,128.6529,35.87797,0.002943,대구광역시,동구
202,낙동강중류,7786,2012,금호강,2092.419,201214,금호강중류,63.3,asos,143,대구,1907.01.31.,128.6529,35.87797,0.663013,대구광역시,동구
202,낙동강중류,7786,2012,금호강,2092.419,201215,신천상류,109.5,asos,143,대구,1907.01.31.,128.6529,35.87797,0.207642,대구광역시,동구
202,낙동강중류,7786,2012,금호강,2092.419,201216,신천하류,53.6,asos,143,대구,1907.01.31.,128.6529,35.87797,0.382167,대구광역시,동구
203,낙동강하류,8605,2021,밀양강,1422.3,202103,청도천상류,142,asos,143,대구,1907.01.31.,128.6529,35.87797,8.98E-04,대구광역시,동구
331,만경동진,3021,3301,만경강,1405.599,330104,소양천,154.7,asos,146,전주,1918.06.23.,127.1171,35.84091,0.082654,전라북도,전주시완산구
331,만경동진,3021,3301,만경강,1405.599,330105,전주천합류전,74.8,asos,146,전주,1918.06.23.,127.1171,35.84091,0.138764,전라북도,전주시완산구
331,만경동진,3021,3301,만경강,1405.599,330108,삼천,90.6,asos,146,전주,1918.06.23.,127.1171,35.84091,0.251909,전라북도,전주시완산구
331,만경동진,3021,3301,만경강,1405.599,330109,전주천하류,76.6,asos,146,전주,1918.06.23.,127.1171,35.84091,0.48982,전라북도,전주시완산구
331,만경동진,3021,3301,만경강,1405.599,330110,익산천,77.7,asos,146,전주,1918.06.23.,127.1171,35.84091,0.001095,전라북도,전주시완산구
331,만경동진,3021,3301,만경강,1405.599,330111,만경강중류,197.7,asos,146,전주,1918.06.23.,127.1171,35.84091,0.43414,전라북도,전주시완산구
331,만경동진,3021,3302,동진강,1117.53,330206,원평천,265.9,asos,146,전주,1918.06.23.,127.1171,35.84091,0.036453,전라북도,전주시완산구
221,태화강,661,2201,태화강,660.8599,220104,삼호수위표,89.4,asos,152,울산,1932.01.06.,129.3346,35.58237,0.54509,울산광역시,중구
221,태화강,661,2201,태화강,660.8599,220105,동천,172.4,asos,152,울산,1932.01.06.,129.3346,35.58237,0.41269,울산광역시,중구
221,태화강,661,2201,태화강,660.8599,220106,태화강,66.3,asos,152,울산,1932.01.06.,129.3346,35.58237,0.959365,울산광역시,중구
231,회야수영,865,2301,회야강,324.16,230101,청량천,106.6,asos,152,울산,1932.01.06.,129.3346,35.58237,0.289295,울산광역시,중구
241,낙동강동해,2973,2403,대종천,656.59,240306,수렴천,123.6,asos,152,울산,1932.01.06.,129.3346,35.58237,0.015785,울산광역시,중구
203,낙동강하류,8605,2020,낙동밀양,1004.679,202003,광려천,157.9,asos,155,창원,1985.07.01.,128.5728,35.17018,0.273915,경상남도,창원시 마산합포구
251,낙동강남해,2450,2504,낙동강남해,770.5499,250405,진동천,98.1,asos,155,창원,1985.07.01.,128.5728,35.17018,0.236206,경상남도,창원시 마산합포구
251,낙동강남해,2450,2504,낙동강남해,770.5499,250406,삼호천,93.3,asos,155,창원,1985.07.01.,128.5728,35.17018,0.921497,경상남도,창원시 마산합포구
251,낙동강남해,2450,2504,낙동강남해,770.5499,250407,남천,102.5,asos,155,창원,1985.07.01.,128.5728,35.17018,0.00624,경상남도,창원시 마산합포구
251,낙동강남해,2450,2504,낙동강남해,770.5499,250408,양곡천,160.7,asos,155,창원,1985.07.01.,128.5728,35.17018,0.152596,경상남도,창원시 마산합포구
501,영산강,3470,5001,영산강상류,714.7999,500105,증암천,105.3,asos,156,광주,1939.05.01.,126.8915,35.17293,0.047849,광주광역시,북구
501,영산강,3470,5001,영산강상류,714.7999,500106,광주수위표,105.8,asos,156,광주,1939.05.01.,126.8915,35.17293,0.113319,광주광역시,북구
501,영산강,3470,5001,영산강상류,714.7999,500107,광주천,112.8,asos,156,광주,1939.05.01.,126.8915,35.17293,0.325351,광주광역시,북구
203,낙동강하류,8605,2022,낙동강하구언,915.84,202208,낙동강하구언,54.7,asos,159,부산,1904.04.09.,129.032,35.10467,3.81E-04,부산광역시,중구
231,회야수영,865,2302,수영강,541.28,230205,동천,60,asos,159,부산,1904.04.09.,129.032,35.10467,0.125802,부산광역시,중구
231,회야수영,865,2302,수영강,541.28,230206,부산천,69.6,asos,159,부산,1904.04.09.,129.032,35.10467,0.342642,부산광역시,중구
251,낙동강남해,2450,2501,가화천,797.26,250109,학림천,191.9,asos,162,통영,1968.01.01.,128.4356,34.8454,0.132503,경상남도,통영시
251,낙동강남해,2450,2503,거제도,533.83,250301,통영시섬군,131.8,asos,162,통영,1968.01.01.,128.4356,34.8454,0.465704,경상남도,통영시
251,낙동강남해,2450,2503,거제도,533.83,250302,사등천,143.1,asos,162,통영,1968.01.01.,128.4356,34.8454,0.023056,경상남도,통영시
251,낙동강남해,2450,2503,거제도,533.83,250304,둔덕천,151.3,asos,162,통영,1968.01.01.,128.4356,34.8454,0.208368,경상남도,통영시
251,낙동강남해,2450,2504,낙동강남해,770.5499,250403,황리천,59.4,asos,162,통영,1968.01.01.,128.4356,34.8454,0.70798,경상남도,통영시
521,영산강남해,1507,5202,영암방조제,1069.31,520202,영암방조제,262.3,asos,165,목포,1904.04.08.,126.3812,34.81689,0.059329,전라남도,목포시
521,영산강남해,1507,5202,영암방조제,1069.31,520204,화원면,123.3,asos,165,목포,1904.04.08.,126.3812,34.81689,0.171266,전라남도,목포시
531,영산강서해,2125,5302,와탄천,1097.989,530209,청계천,107.2,asos,165,목포,1904.04.08.,126.3812,34.81689,0.46194,전라남도,목포시
